transaction_id,event_type,date,user_id,item_id
d6a785f9,purchase,2021-12-29,000038,015-000
7f03aeeb,purchase,2021-12-29,005583,009-000
992517ad,purchase,2021-12-29,007478,017-404
6ba3426f,purchase,2021-12-29,002181,007-063
0e87f117,purchase,2021-12-29,009475,001-293
a34865a2,purchase,2021-12-29,009989,013-118
8c64c982,purchase,2021-12-29,008580,005-120
a9c27d45,purchase,2021-12-29,002094,009-000
080c2e6e,purchase,2021-12-29,004632,001-027
feb755d3,purchase,2021-12-29,007692,002-081
6cc27658,purchase,2021-12-29,005443,015-000
ee6f7a33,purchase,2021-12-29,001087,006-281
854cdea4,purchase,2021-12-29,002397,005-063
4a0a9a06,purchase,2021-12-29,003539,012-045
d7ef27ac,purchase,2021-12-29,008274,008-001
c68165ab,purchase,2021-12-29,000967,019-018
bc8d0d42,purchase,2021-12-29,009844,012-000
6d85285b,purchase,2021-12-29,009691,003-006
254b10d8,purchase,2021-12-29,001227,011-022
4c5b9f76,purchase,2021-12-29,004974,000-000
0515e2b9,purchase,2021-12-29,000923,013-890
6b84630e,purchase,2021-12-29,006977,006-353
516bb75d,purchase,2021-12-29,008742,014-000
6df950c8,purchase,2021-12-29,009755,019-003
ffe7b2bb,purchase,2021-12-29,009797,016-028
34cfabf5,purchase,2021-12-29,002976,008-000
3a11f5c1,purchase,2021-12-29,002874,016-017
c8876531,purchase,2021-12-29,000746,003-707
52fcddb0,purchase,2021-12-29,004969,018-191
92e56033,purchase,2021-12-29,007753,013-076
17dc490f,purchase,2021-12-29,007635,013-243
8e51bf25,purchase,2021-12-29,009968,004-077
db598a2a,purchase,2021-12-29,005924,017-000
e36d05f2,purchase,2021-12-29,007074,003-033
54616a04,purchase,2021-12-29,000020,005-016
3bf2d075,purchase,2021-12-29,007634,010-315
8374bbc8,purchase,2021-12-29,001133,014-077
56b22464,purchase,2021-12-29,006770,000-089
cd628190,purchase,2021-12-29,005907,002-447
6a7ca381,purchase,2021-12-29,002737,007-023
f34891d9,purchase,2021-12-29,004826,017-439
c6be6092,purchase,2021-12-29,002917,012-001
1867c185,purchase,2021-12-29,009097,002-062
dc73ebf1,purchase,2021-12-29,008841,015-000
b8ed91fa,purchase,2021-12-29,003019,010-733
6a5b1770,purchase,2021-12-29,006494,013-493
4c8ee07a,purchase,2021-12-29,007389,016-050
76dc1d4e,purchase,2021-12-29,003369,003-366
91a41beb,purchase,2021-12-29,007057,007-015
b8ff0c86,purchase,2021-12-29,004643,019-788
ea227d16,purchase,2021-12-29,008425,012-005
cd91d62d,purchase,2021-12-29,001881,002-016
c86c2552,purchase,2021-12-29,000076,014-030
242c0d18,purchase,2021-12-29,000757,014-243
c8549280,purchase,2021-12-29,008055,018-015
0185c28a,purchase,2021-12-29,005775,011-612
6e187980,purchase,2021-12-29,004323,017-113
8bde64a2,purchase,2021-12-29,006138,007-955
caa67847,purchase,2021-12-29,000473,019-000
4cd04a6b,purchase,2021-12-29,003797,006-038
256f4212,purchase,2021-12-29,009731,014-034
3a015aec,purchase,2021-12-29,000076,015-010
ffe7b2bb,cancel,2021-12-29,009797,016-028
06b26fca,purchase,2021-12-29,004055,009-022
febfbb24,purchase,2021-12-29,006698,004-062
01e1c001,purchase,2021-12-29,005681,003-066
39d88db1,purchase,2021-12-29,006450,000-018
2176e624,purchase,2021-12-29,008916,010-000
7c5a8e73,purchase,2021-12-29,007973,011-009
ff634265,purchase,2021-12-29,006112,015-044
e3735a63,purchase,2021-12-29,000904,001-001
56c0a6f1,purchase,2021-12-29,002537,017-914
154a1ada,purchase,2021-12-29,000263,007-075
151ff847,purchase,2021-12-29,007477,006-001
b4cd0313,purchase,2021-12-29,004247,007-069
6c944002,purchase,2021-12-29,001986,006-002
6ae63ce0,purchase,2021-12-29,007497,019-005
f25a6d31,purchase,2021-12-29,008533,002-000
44e14622,purchase,2021-12-29,003988,016-006
43754a2e,purchase,2021-12-29,009709,006-085
c5f0acc8,purchase,2021-12-29,004247,014-005
b119d422,purchase,2021-12-29,005195,013-590
3efef4bc,purchase,2021-12-29,003443,001-270
1867c185,cancel,2021-12-29,009097,002-062
eb9f2378,purchase,2021-12-29,009020,016-794
03e7551b,purchase,2021-12-29,006371,006-029
76d964b4,purchase,2021-12-29,004083,000-009
166d78e5,purchase,2021-12-29,004161,019-142
b8001f94,purchase,2021-12-29,001824,010-009
dd84ac13,purchase,2021-12-29,003392,016-015
441248cd,purchase,2021-12-29,005378,001-000
72c1ba36,purchase,2021-12-29,002496,010-057
5aa1a581,purchase,2021-12-29,008020,012-017
9597795f,purchase,2021-12-29,009583,000-068
8e1e3d8d,purchase,2021-12-29,003960,016-008
b7d94f04,purchase,2021-12-29,000123,001-000
dabc9802,purchase,2021-12-29,009812,007-000
58e560d6,purchase,2021-12-29,007082,008-060
5b448afd,purchase,2021-12-29,004195,011-005
0c01c122,purchase,2021-12-29,006134,003-003
9da0c4a9,purchase,2021-12-29,008657,017-000
a0d99608,purchase,2021-12-29,009681,001-000
d57bf52d,purchase,2021-12-29,002593,017-001
7c587c01,purchase,2021-12-29,000261,012-013
