user_id,gender,birthdate
000000,male,1972-10-17
000001,female,1977-07-30
000002,male,1996-07-13
000003,male,1980-01-01
000004,male,1994-07-27
000005,male,1981-12-01
000006,female,1969-09-20
000007,male,1976-05-19
000008,male,1981-10-30
000009,female,1976-10-24
000010,male,1963-07-21
000011,female,1982-07-30
000012,female,1977-12-11
000013,male,1983-07-01
000014,male,1970-05-01
000015,female,1976-06-30
000016,male,1978-06-17
000017,male,1994-12-30
000018,male,1995-03-22
000019,male,1984-05-29
000020,male,1978-06-04
000021,none,1970-09-29
000022,female,1974-12-18
000023,male,1979-10-19
000024,female,1969-10-12
000025,none,1962-12-27
000026,male,1978-03-01
000027,male,1974-04-16
000028,male,1981-10-21
000029,female,1984-06-06
000030,female,1976-04-12
000031,male,1984-03-04
000032,male,1982-08-22
000033,male,1974-03-08
000034,female,1980-11-01
000035,male,1991-10-07
000036,female,1991-01-22
000037,female,1966-03-10
000038,male,1982-09-29
000039,female,1986-11-03
000040,male,1995-11-23
000041,none,1982-07-07
000042,female,1976-10-30
000043,female,1973-11-19
000044,female,1975-09-13
000045,none,1954-01-30
000046,female,1981-09-15
000047,female,1986-05-01
000048,male,1981-05-24
000049,female,1970-06-08
000050,female,1983-10-02
000051,female,1966-08-20
000052,female,1982-04-27
000053,female,1970-11-13
000054,female,1982-01-26
000055,male,1987-04-10
000056,male,1980-02-29
000057,none,1986-07-28
000058,male,1958-02-01
000059,female,1970-11-06
000060,female,1968-06-11
000061,none,1984-09-13
000062,male,1977-08-18
000063,male,1972-11-25
000064,none,1999-01-30
000065,female,1975-07-24
000066,female,1986-10-30
000067,male,1978-12-29
000068,female,1960-09-20
000069,female,1985-05-31
000070,male,1990-03-13
000071,male,1983-02-13
000072,male,1993-10-10
000073,female,1992-04-27
000074,female,1982-11-14
000075,male,1979-03-17
000076,female,1980-09-23
000077,male,1984-01-01
000078,male,1982-09-30
000079,female,1990-01-24
000080,male,1973-04-09
000081,female,1976-06-17
000082,female,1973-03-27
000083,female,1985-06-25
000084,female,1996-06-07
000085,none,1974-06-30
000086,female,1977-04-18
000087,female,1978-10-10
000088,male,1965-03-21
000089,none,1988-03-14
000090,male,1987-05-23
000091,female,1981-03-18
000092,male,1979-08-08
000093,male,1980-07-27
000094,female,1994-03-08
000095,female,1993-10-03
000096,male,1977-08-21
000097,female,1957-08-20
000098,male,1987-12-04
000099,female,2000-03-01
000100,male,1992-01-17
000101,female,1983-10-21
000102,male,1963-05-02
000103,female,1988-10-04
000104,female,1985-10-04
000105,female,1990-09-25
000106,male,1968-05-14
000107,male,1981-04-23
000108,male,1963-10-13
000109,none,1988-07-09
000110,female,1971-09-15
000111,female,1997-12-17
000112,none,1994-07-24
000113,female,1984-07-15
000114,male,1990-06-21
000115,female,1971-12-26
000116,female,1986-06-12
000117,female,1987-09-16
000118,male,1965-12-05
000119,male,1975-12-24
000120,male,1973-10-13
000121,male,1981-01-07
000122,female,1983-05-29
000123,female,1979-01-15
000124,female,1967-02-23
000125,female,1995-11-18
000126,male,2002-02-27
000127,none,1971-10-02
000128,female,1980-05-09
000129,female,1994-01-30
000130,female,1965-12-16
000131,female,1958-03-19
000132,female,1985-01-16
000133,female,1961-12-05
000134,male,2000-03-14
000135,male,1979-11-03
000136,female,1993-03-12
000137,female,1984-05-16
000138,male,1957-10-14
000139,female,1992-07-14
000140,male,1984-06-29
000141,female,1975-01-13
000142,male,1986-08-27
000143,female,1976-10-29
000144,none,1991-10-01
000145,female,1975-11-30
000146,male,1976-11-03
000147,male,1975-07-29
000148,male,1986-10-04
000149,female,1975-01-16
000150,male,2006-06-01
000151,female,1983-04-26
000152,male,1967-08-09
000153,female,1980-08-13
000154,female,1983-11-24
000155,none,1961-01-03
000156,male,1998-05-09
000157,male,1975-06-01
000158,male,1977-11-03
000159,female,1978-09-02
000160,none,1985-05-28
000161,male,1979-07-28
000162,male,1991-10-28
000163,male,1977-08-21
000164,male,1978-08-02
000165,female,1979-09-06
000166,female,1987-04-13
000167,female,1994-11-20
000168,female,1989-09-22
000169,female,1979-04-06
000170,female,1984-01-08
000171,male,1986-09-20
000172,male,1965-05-16
000173,female,1974-06-09
000174,female,1968-02-02
000175,male,1967-05-17
000176,female,1971-11-20
000177,female,1983-09-15
000178,female,1972-09-28
000179,male,2006-06-22
000180,male,1972-12-01
000181,male,1978-11-25
000182,male,1967-07-07
000183,none,2002-12-18
