transaction_id,event_type,date,user_id,item_id
81fa7bd1,purchase,2021-12-31,007358,001-454
126b29ba,purchase,2021-12-31,007257,016-027
5799d4c4,purchase,2021-12-31,008151,007-285
d89de36c,purchase,2021-12-31,001368,003-473
5f0885b7,purchase,2021-12-31,008733,008-003
b37b22d7,purchase,2021-12-31,000456,007-000
80faef51,purchase,2021-12-31,008599,008-403
6e56637c,purchase,2021-12-31,004965,009-057
623e687e,purchase,2021-12-31,000024,019-001
20559d33,purchase,2021-12-31,006775,005-047
d81f86ba,purchase,2021-12-31,007517,018-000
138875bd,purchase,2021-12-31,004595,007-000
8e0fd91c,purchase,2021-12-31,004657,016-006
5dce55bb,purchase,2021-12-31,000492,018-009
93673846,purchase,2021-12-31,009301,011-015
c4b168df,purchase,2021-12-31,001966,002-427
b1986dfe,purchase,2021-12-31,007734,009-673
5629d44c,purchase,2021-12-31,000074,002-063
a2cadc79,purchase,2021-12-31,003246,014-023
69e65260,purchase,2021-12-31,005991,003-099
2ad34c4b,purchase,2021-12-31,006390,009-007
eadcff14,purchase,2021-12-31,000960,019-025
25c30fb5,purchase,2021-12-31,006538,005-033
39f82cae,purchase,2021-12-31,006376,002-001
1578f9fa,purchase,2021-12-31,005924,004-002
3f143126,purchase,2021-12-31,008921,005-022
7794a1c7,purchase,2021-12-31,001681,010-003
2da7213d,purchase,2021-12-31,009723,018-084
0e7836b0,purchase,2021-12-31,009262,004-003
203bdf7d,purchase,2021-12-31,001316,008-403
bee38653,purchase,2021-12-31,000212,014-005
97e12dd4,purchase,2021-12-31,009133,014-009
8e3edd37,purchase,2021-12-31,006833,014-160
d775a97b,purchase,2021-12-31,007642,003-002
a5334c67,purchase,2021-12-31,005279,016-145
431878a3,purchase,2021-12-31,003286,003-000
7a171e15,purchase,2021-12-31,009343,009-002
2edd7ba3,purchase,2021-12-31,009215,017-003
4db73988,purchase,2021-12-31,005618,009-334
8e6a8a15,purchase,2021-12-31,007514,001-007
bce804b4,purchase,2021-12-31,003623,008-007
ca731e5f,purchase,2021-12-31,006232,001-044
d007cd2f,purchase,2021-12-31,004808,010-286
